Title,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Rags2Riches,Rod Wave ,40TPiJpvwGIyvPjJMDTKfy,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,audio_features,spotify:track:40TPiJpvwGIyvPjJMDTKfy,https://api.spotify.com/v1/tracks/40TPiJpvwGIyvPjJMDTKfy,https://api.spotify.com/v1/audio-analysis/40TPiJpvwGIyvPjJMDTKfy,235988,4,0,4
don’t i,Roddy Ricch ,4t2HbYiaqvoPsbSrOB0LqS,0.773,0.566,11,-8.17,0,0.279,0.184,0.0,0.164,0.262,127.071,audio_features,spotify:track:4t2HbYiaqvoPsbSrOB0LqS,https://api.spotify.com/v1/tracks/4t2HbYiaqvoPsbSrOB0LqS,https://api.spotify.com/v1/audio-analysis/4t2HbYiaqvoPsbSrOB0LqS,213453,4,0,4
Gnat,Eminem ,6cS9PmLky2NhLOhpIsUlow,0.835,0.869,10,-4.582,0,0.27,0.248,0.0,0.462,0.82,140.945,audio_features,spotify:track:6cS9PmLky2NhLOhpIsUlow,https://api.spotify.com/v1/tracks/6cS9PmLky2NhLOhpIsUlow,https://api.spotify.com/v1/audio-analysis/6cS9PmLky2NhLOhpIsUlow,224656,4,0,1
Viva Las Vengeance,Panic! At The Disco ,5TshTIGten6gMBMf8lgbf0,0.209,0.826,9,-5.458,0,0.0709,1.68e-05,0.0337,0.112,0.385,153.879,audio_features,spotify:track:5TshTIGten6gMBMf8lgbf0,https://api.spotify.com/v1/tracks/5TshTIGten6gMBMf8lgbf0,https://api.spotify.com/v1/audio-analysis/5TshTIGten6gMBMf8lgbf0,207297,4,0,5
Darth Vader,21 Savage ,7vg47qMIEdLfNdTE3WLf0T,0.726,0.284,7,-10.494,1,0.391,0.554,0.0176,0.121,0.144,151.004,audio_features,spotify:track:7vg47qMIEdLfNdTE3WLf0T,https://api.spotify.com/v1/tracks/7vg47qMIEdLfNdTE3WLf0T,https://api.spotify.com/v1/audio-analysis/7vg47qMIEdLfNdTE3WLf0T,228893,4,0,5
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$ ,30QR0ndUdiiMQMA9g1PGCm,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,audio_features,spotify:track:30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/tracks/30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/audio-analysis/30QR0ndUdiiMQMA9g1PGCm,168490,4,0,2
Sex for Breakfast,Life of Dillon ,6CDaYzCjahDKqFAIslpveh,0.852,0.601,0,-4.917,1,0.0299,0.145,0.0,0.104,0.537,94.99,audio_features,spotify:track:6CDaYzCjahDKqFAIslpveh,https://api.spotify.com/v1/tracks/6CDaYzCjahDKqFAIslpveh,https://api.spotify.com/v1/audio-analysis/6CDaYzCjahDKqFAIslpveh,194858,4,0,6
Casper,Takeoff ,1B4gJRq61xTs6r1O0Uq2iY,0.921,0.607,1,-7.397,1,0.209,0.525,1.12e-06,0.123,0.753,140.071,audio_features,spotify:track:1B4gJRq61xTs6r1O0Uq2iY,https://api.spotify.com/v1/tracks/1B4gJRq61xTs6r1O0Uq2iY,https://api.spotify.com/v1/audio-analysis/1B4gJRq61xTs6r1O0Uq2iY,197079,4,0,1
Baby Be My Love Song,Easton Corbin ,6WCqjXvMxAN2yP4dzeoyhF,0.488,0.713,0,-6.148,1,0.0472,0.0569,0.0,0.305,0.483,167.973,audio_features,spotify:track:6WCqjXvMxAN2yP4dzeoyhF,https://api.spotify.com/v1/tracks/6WCqjXvMxAN2yP4dzeoyhF,https://api.spotify.com/v1/audio-analysis/6WCqjXvMxAN2yP4dzeoyhF,199747,4,0,3
3:15,Bazzi ,6pmZMP2ET1OJi5rKfLO8jD,0.651,0.654,1,-5.481,1,0.0466,0.385,0.0,0.181,0.539,141.975,audio_features,spotify:track:6pmZMP2ET1OJi5rKfLO8jD,https://api.spotify.com/v1/tracks/6pmZMP2ET1OJi5rKfLO8jD,https://api.spotify.com/v1/audio-analysis/6pmZMP2ET1OJi5rKfLO8jD,167019,4,0,1
Paradise By the Dashboard Light,Meat Loaf ,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,audio_features,spotify:track:2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/tracks/2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/audio-analysis/2g7gviEeJr6pyxO7G35EWQ,508333,4,0,3
